StateAbbreviation,ResponsibleDistrictIdentifier,ResponsibleInstitutionIdentifier,LastOrSurname,FirstName,MiddleName,Birthdate,SSID,ExternalSSID,GradeLevelWhenAssessed,Sex,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative,Asian,BlackOrAfricanAmerican,White,NativeHawaiianOrOtherPacificIslander,DemographicRaceTwoOrMoreRaces,IDEAIndicator,LEPStatus,Section504Status,EconomicDisadvantageStatus,LanguageCode,EnglishLanguageProficiencyLevel,MigrantStatus,FirstEntryDateIntoUSSchool,LimitedEnglishProficiencyEntryDate,LEPExitDate,TitleIIILanguageInstructionProgramType,PrimaryDisabilityType,Delete
OR,TEST,TEST,LastName975,Name975,MiddleName975,,LTSTUDENT975,LTSTUDENT975,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName976,Name976,MiddleName976,,LTSTUDENT976,LTSTUDENT976,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName977,Name977,MiddleName977,,LTSTUDENT977,LTSTUDENT977,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName978,Name978,MiddleName978,,LTSTUDENT978,LTSTUDENT978,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName979,Name979,MiddleName979,,LTSTUDENT979,LTSTUDENT979,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName980,Name980,MiddleName980,,LTSTUDENT980,LTSTUDENT980,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName981,Name981,MiddleName981,,LTSTUDENT981,LTSTUDENT981,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName982,Name982,MiddleName982,,LTSTUDENT982,LTSTUDENT982,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName983,Name983,MiddleName983,,LTSTUDENT983,LTSTUDENT983,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName984,Name984,MiddleName984,,LTSTUDENT984,LTSTUDENT984,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName985,Name985,MiddleName985,,LTSTUDENT985,LTSTUDENT985,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName986,Name986,MiddleName986,,LTSTUDENT986,LTSTUDENT986,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName987,Name987,MiddleName987,,LTSTUDENT987,LTSTUDENT987,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName988,Name988,MiddleName988,,LTSTUDENT988,LTSTUDENT988,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName989,Name989,MiddleName989,,LTSTUDENT989,LTSTUDENT989,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName990,Name990,MiddleName990,,LTSTUDENT990,LTSTUDENT990,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName991,Name991,MiddleName991,,LTSTUDENT991,LTSTUDENT991,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName992,Name992,MiddleName992,,LTSTUDENT992,LTSTUDENT992,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName993,Name993,MiddleName993,,LTSTUDENT993,LTSTUDENT993,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName994,Name994,MiddleName994,,LTSTUDENT994,LTSTUDENT994,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName995,Name995,MiddleName995,,LTSTUDENT995,LTSTUDENT995,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName996,Name996,MiddleName996,,LTSTUDENT996,LTSTUDENT996,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName997,Name997,MiddleName997,,LTSTUDENT997,LTSTUDENT997,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName998,Name998,MiddleName998,,LTSTUDENT998,LTSTUDENT998,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName999,Name999,MiddleName999,,LTSTUDENT999,LTSTUDENT999,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1000,Name1000,MiddleName1000,,LTSTUDENT1000,LTSTUDENT1000,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1001,Name1001,MiddleName1001,,LTSTUDENT1001,LTSTUDENT1001,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1002,Name1002,MiddleName1002,,LTSTUDENT1002,LTSTUDENT1002,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1003,Name1003,MiddleName1003,,LTSTUDENT1003,LTSTUDENT1003,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1004,Name1004,MiddleName1004,,LTSTUDENT1004,LTSTUDENT1004,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1005,Name1005,MiddleName1005,,LTSTUDENT1005,LTSTUDENT1005,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1006,Name1006,MiddleName1006,,LTSTUDENT1006,LTSTUDENT1006,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1007,Name1007,MiddleName1007,,LTSTUDENT1007,LTSTUDENT1007,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1008,Name1008,MiddleName1008,,LTSTUDENT1008,LTSTUDENT1008,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1009,Name1009,MiddleName1009,,LTSTUDENT1009,LTSTUDENT1009,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1010,Name1010,MiddleName1010,,LTSTUDENT1010,LTSTUDENT1010,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1011,Name1011,MiddleName1011,,LTSTUDENT1011,LTSTUDENT1011,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1012,Name1012,MiddleName1012,,LTSTUDENT1012,LTSTUDENT1012,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1013,Name1013,MiddleName1013,,LTSTUDENT1013,LTSTUDENT1013,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1014,Name1014,MiddleName1014,,LTSTUDENT1014,LTSTUDENT1014,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1015,Name1015,MiddleName1015,,LTSTUDENT1015,LTSTUDENT1015,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1016,Name1016,MiddleName1016,,LTSTUDENT1016,LTSTUDENT1016,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1017,Name1017,MiddleName1017,,LTSTUDENT1017,LTSTUDENT1017,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1018,Name1018,MiddleName1018,,LTSTUDENT1018,LTSTUDENT1018,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1019,Name1019,MiddleName1019,,LTSTUDENT1019,LTSTUDENT1019,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1020,Name1020,MiddleName1020,,LTSTUDENT1020,LTSTUDENT1020,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1021,Name1021,MiddleName1021,,LTSTUDENT1021,LTSTUDENT1021,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1022,Name1022,MiddleName1022,,LTSTUDENT1022,LTSTUDENT1022,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1023,Name1023,MiddleName1023,,LTSTUDENT1023,LTSTUDENT1023,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1024,Name1024,MiddleName1024,,LTSTUDENT1024,LTSTUDENT1024,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1025,Name1025,MiddleName1025,,LTSTUDENT1025,LTSTUDENT1025,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1026,Name1026,MiddleName1026,,LTSTUDENT1026,LTSTUDENT1026,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1027,Name1027,MiddleName1027,,LTSTUDENT1027,LTSTUDENT1027,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1028,Name1028,MiddleName1028,,LTSTUDENT1028,LTSTUDENT1028,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1029,Name1029,MiddleName1029,,LTSTUDENT1029,LTSTUDENT1029,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1030,Name1030,MiddleName1030,,LTSTUDENT1030,LTSTUDENT1030,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1031,Name1031,MiddleName1031,,LTSTUDENT1031,LTSTUDENT1031,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1032,Name1032,MiddleName1032,,LTSTUDENT1032,LTSTUDENT1032,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1033,Name1033,MiddleName1033,,LTSTUDENT1033,LTSTUDENT1033,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1034,Name1034,MiddleName1034,,LTSTUDENT1034,LTSTUDENT1034,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1035,Name1035,MiddleName1035,,LTSTUDENT1035,LTSTUDENT1035,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1036,Name1036,MiddleName1036,,LTSTUDENT1036,LTSTUDENT1036,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1037,Name1037,MiddleName1037,,LTSTUDENT1037,LTSTUDENT1037,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1038,Name1038,MiddleName1038,,LTSTUDENT1038,LTSTUDENT1038,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1039,Name1039,MiddleName1039,,LTSTUDENT1039,LTSTUDENT1039,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1040,Name1040,MiddleName1040,,LTSTUDENT1040,LTSTUDENT1040,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1041,Name1041,MiddleName1041,,LTSTUDENT1041,LTSTUDENT1041,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1042,Name1042,MiddleName1042,,LTSTUDENT1042,LTSTUDENT1042,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1043,Name1043,MiddleName1043,,LTSTUDENT1043,LTSTUDENT1043,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1044,Name1044,MiddleName1044,,LTSTUDENT1044,LTSTUDENT1044,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1045,Name1045,MiddleName1045,,LTSTUDENT1045,LTSTUDENT1045,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1046,Name1046,MiddleName1046,,LTSTUDENT1046,LTSTUDENT1046,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1047,Name1047,MiddleName1047,,LTSTUDENT1047,LTSTUDENT1047,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1048,Name1048,MiddleName1048,,LTSTUDENT1048,LTSTUDENT1048,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1049,Name1049,MiddleName1049,,LTSTUDENT1049,LTSTUDENT1049,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1050,Name1050,MiddleName1050,,LTSTUDENT1050,LTSTUDENT1050,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1051,Name1051,MiddleName1051,,LTSTUDENT1051,LTSTUDENT1051,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1052,Name1052,MiddleName1052,,LTSTUDENT1052,LTSTUDENT1052,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1053,Name1053,MiddleName1053,,LTSTUDENT1053,LTSTUDENT1053,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1054,Name1054,MiddleName1054,,LTSTUDENT1054,LTSTUDENT1054,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1055,Name1055,MiddleName1055,,LTSTUDENT1055,LTSTUDENT1055,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1056,Name1056,MiddleName1056,,LTSTUDENT1056,LTSTUDENT1056,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1057,Name1057,MiddleName1057,,LTSTUDENT1057,LTSTUDENT1057,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1058,Name1058,MiddleName1058,,LTSTUDENT1058,LTSTUDENT1058,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1059,Name1059,MiddleName1059,,LTSTUDENT1059,LTSTUDENT1059,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1060,Name1060,MiddleName1060,,LTSTUDENT1060,LTSTUDENT1060,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1061,Name1061,MiddleName1061,,LTSTUDENT1061,LTSTUDENT1061,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1062,Name1062,MiddleName1062,,LTSTUDENT1062,LTSTUDENT1062,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1063,Name1063,MiddleName1063,,LTSTUDENT1063,LTSTUDENT1063,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1064,Name1064,MiddleName1064,,LTSTUDENT1064,LTSTUDENT1064,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1065,Name1065,MiddleName1065,,LTSTUDENT1065,LTSTUDENT1065,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1066,Name1066,MiddleName1066,,LTSTUDENT1066,LTSTUDENT1066,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1067,Name1067,MiddleName1067,,LTSTUDENT1067,LTSTUDENT1067,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1068,Name1068,MiddleName1068,,LTSTUDENT1068,LTSTUDENT1068,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1069,Name1069,MiddleName1069,,LTSTUDENT1069,LTSTUDENT1069,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1070,Name1070,MiddleName1070,,LTSTUDENT1070,LTSTUDENT1070,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1071,Name1071,MiddleName1071,,LTSTUDENT1071,LTSTUDENT1071,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1072,Name1072,MiddleName1072,,LTSTUDENT1072,LTSTUDENT1072,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1073,Name1073,MiddleName1073,,LTSTUDENT1073,LTSTUDENT1073,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1074,Name1074,MiddleName1074,,LTSTUDENT1074,LTSTUDENT1074,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1075,Name1075,MiddleName1075,,LTSTUDENT1075,LTSTUDENT1075,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1076,Name1076,MiddleName1076,,LTSTUDENT1076,LTSTUDENT1076,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1077,Name1077,MiddleName1077,,LTSTUDENT1077,LTSTUDENT1077,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1078,Name1078,MiddleName1078,,LTSTUDENT1078,LTSTUDENT1078,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1079,Name1079,MiddleName1079,,LTSTUDENT1079,LTSTUDENT1079,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1080,Name1080,MiddleName1080,,LTSTUDENT1080,LTSTUDENT1080,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1081,Name1081,MiddleName1081,,LTSTUDENT1081,LTSTUDENT1081,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1082,Name1082,MiddleName1082,,LTSTUDENT1082,LTSTUDENT1082,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1083,Name1083,MiddleName1083,,LTSTUDENT1083,LTSTUDENT1083,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1084,Name1084,MiddleName1084,,LTSTUDENT1084,LTSTUDENT1084,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1085,Name1085,MiddleName1085,,LTSTUDENT1085,LTSTUDENT1085,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1086,Name1086,MiddleName1086,,LTSTUDENT1086,LTSTUDENT1086,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1087,Name1087,MiddleName1087,,LTSTUDENT1087,LTSTUDENT1087,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1088,Name1088,MiddleName1088,,LTSTUDENT1088,LTSTUDENT1088,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1089,Name1089,MiddleName1089,,LTSTUDENT1089,LTSTUDENT1089,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1090,Name1090,MiddleName1090,,LTSTUDENT1090,LTSTUDENT1090,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1091,Name1091,MiddleName1091,,LTSTUDENT1091,LTSTUDENT1091,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1092,Name1092,MiddleName1092,,LTSTUDENT1092,LTSTUDENT1092,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1093,Name1093,MiddleName1093,,LTSTUDENT1093,LTSTUDENT1093,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1094,Name1094,MiddleName1094,,LTSTUDENT1094,LTSTUDENT1094,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1095,Name1095,MiddleName1095,,LTSTUDENT1095,LTSTUDENT1095,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1096,Name1096,MiddleName1096,,LTSTUDENT1096,LTSTUDENT1096,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1097,Name1097,MiddleName1097,,LTSTUDENT1097,LTSTUDENT1097,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1098,Name1098,MiddleName1098,,LTSTUDENT1098,LTSTUDENT1098,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1099,Name1099,MiddleName1099,,LTSTUDENT1099,LTSTUDENT1099,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1100,Name1100,MiddleName1100,,LTSTUDENT1100,LTSTUDENT1100,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1101,Name1101,MiddleName1101,,LTSTUDENT1101,LTSTUDENT1101,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1102,Name1102,MiddleName1102,,LTSTUDENT1102,LTSTUDENT1102,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1103,Name1103,MiddleName1103,,LTSTUDENT1103,LTSTUDENT1103,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1104,Name1104,MiddleName1104,,LTSTUDENT1104,LTSTUDENT1104,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1105,Name1105,MiddleName1105,,LTSTUDENT1105,LTSTUDENT1105,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1106,Name1106,MiddleName1106,,LTSTUDENT1106,LTSTUDENT1106,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1107,Name1107,MiddleName1107,,LTSTUDENT1107,LTSTUDENT1107,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1108,Name1108,MiddleName1108,,LTSTUDENT1108,LTSTUDENT1108,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1109,Name1109,MiddleName1109,,LTSTUDENT1109,LTSTUDENT1109,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
